rank,name,url,gold_value,grand_total,value_ratio,error,gross_weight,metal_weight,stone_weight,length,width,thickness,rate,making_charges,gst,discount,subtotal,product_total
94,Antique Finished And Studded 22KT Gold Choker,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-choker-ngo-chkr-btc-s-l-ox-25893611,1301745.72,1414941.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
95,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-2628566,569713.68,619254.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
96,Antique Finished And Studded 22KT Gold Choker,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-choker-ngo-chkr-btc-s-l-ox-25894426,1022844.04,1111787.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
97,Antique Finished And Studded 22KT Gold Lakshmi Devi Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-lakshmi-devi-drops-ngo-stdr-btc-s-l-ox-25893638,531134.4,577320.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
98,Antique Finished And Studded 22KT Gold Choker,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-choker-ngo-chkr-btc-s-l-ox-25893501,1474178.56,1602368.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
99,Antique Finished And Studded 22KT Gold Choker,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-choker-ngo-chkr-btc-s-l-ox-25893503,792869.8,861815.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
100,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25893925,391993.6,426080.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
101,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25893969,702203.8,763265.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
102,Antique Finished And Studded 22KT Gold Fancy Chain,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-fancy-chain-ngo-chfc-btc-s-l-ox-25893660,2082577.32,2263671.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
103,Antique Finished And Studded 22KT Gold Haaram,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-haaram-ngo-chfc-btc-s-l-ox-25894280,1651546.28,1795159.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
104,Antique Finished And Studded 22KT Gold Queen Victoria Fancy Chain,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-queen-victoria-fancy-chain-ngo-chfc-btc-s-l-ox-25893547,702446.68,763529.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
